bug,loc,name,version,name.1,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,productName,dataset
0,99,log4j,1,org.apache.log4j.helpers.ISO8601DateFormat,4,4,0,3,12,6,2,1,4,2.0,0.0,0,0.953488372,0.357142857,1,3,23.75,3,1.0,log4j-1.0,PROMISE
0,6,log4j,1,org.apache.log4j.xml.Transform,2,1,0,0,3,1,0,0,2,2.0,0.0,0,0.0,0.5,0,0,2.0,1,0.5,log4j-1.0,PROMISE
0,176,log4j,1,org.apache.log4j.helpers.AppenderAttachableImpl,8,1,0,6,22,0,3,3,8,0.142857143,1.0,0,0.0,0.40625,0,0,20.875,5,3.125,log4j-1.0,PROMISE
0,179,log4j,1,org.apache.log4j.helpers.DateLayout,8,2,1,7,24,12,1,6,8,0.936507937,0.5555555560000001,0,0.533333333,0.333333333,0,0,20.25,7,2.25,log4j-1.0,PROMISE
0,28,log4j,1,org.apache.log4j.Layout,10,1,5,34,13,45,32,2,9,1.0,0.0,0,0.0,0.4074074070000001,0,0,1.6,1,0.8,log4j-1.0,PROMISE
2,531,log4j,1,org.apache.log4j.net.SyslogAppender,12,2,0,10,35,24,0,10,11,0.994134897,0.064516129,2,0.666666667,0.3666666670000001,2,4,40.66666667,23,5.0833,log4j-1.0,PROMISE
0,10,log4j,1,org.apache.log4j.net.DefaultEvaluator,2,1,0,4,4,1,1,3,1,2.0,0.0,0,0.0,0.75,0,0,4.0,1,0.5,log4j-1.0,PROMISE
0,45,log4j,1,org.apache.log4j.test.DefaultInit,5,1,0,1,14,8,0,1,2,0.875,0.0,1,0.0,0.333333333,0,0,7.6,1,0.6,log4j-1.0,PROMISE
0,67,log4j,1,org.apache.log4j.Dispatcher,2,2,0,4,11,0,1,3,1,0.0,0.0,2,0.983870968,0.666666667,0,0,31.5,5,2.5,log4j-1.0,PROMISE
0,133,log4j,1,org.apache.log4j.performance.ConcatVsArray,3,1,0,0,14,3,0,0,2,2.0,0.0,0,0.0,0.333333333,0,0,43.33333333,4,1.6667,log4j-1.0,PROMISE
1,44,log4j,1,org.apache.log4j.helpers.OnlyOnceErrorHandler,6,1,0,3,9,9,1,2,6,0.8666666670000001,0.0,0,0.0,0.458333333,0,0,5.833333333,2,1.1667,log4j-1.0,PROMISE
0,217,log4j,1,org.apache.log4j.TTCCLayout,8,3,0,7,25,0,2,5,8,0.7959183670000001,0.571428571,0,0.7142857140000001,0.40625,1,1,25.25,5,1.625,log4j-1.0,PROMISE
0,38,log4j,1,org.apache.log4j.test.Hello,4,1,0,2,12,4,0,2,2,0.833333333,0.0,1,0.0,0.333333333,0,0,8.0,1,0.5,log4j-1.0,PROMISE
0,3,log4j,1,org.apache.log4j.spi.OptionHandler,3,1,0,8,3,3,8,0,3,2.0,0.0,0,0.0,0.666666667,0,0,0.0,1,1.0,log4j-1.0,PROMISE
1,247,log4j,1,org.apache.log4j.BasicConfigurator,14,1,2,20,42,91,9,11,9,1.051282051,0.0,0,0.0,0.134615385,0,0,16.42857143,3,1.2857,log4j-1.0,PROMISE
0,106,log4j,1,org.apache.log4j.net.SocketNode,4,1,0,7,25,0,3,4,2,0.7333333329999999,0.0,2,0.0,0.4166666670000001,0,0,24.25,2,0.75,log4j-1.0,PROMISE
0,202,log4j,1,org.apache.log4j.test.L7D,6,1,0,3,25,13,0,3,2,0.7,0.0,0,0.0,0.277777778,0,0,32.33333333,2,1.3333,log4j-1.0,PROMISE
0,42,log4j,1,org.apache.log4j.gui.AddAction,3,1,0,2,8,1,2,2,2,0.75,0.0,0,0.0,0.625,0,0,12.33333333,1,0.3333,log4j-1.0,PROMISE
0,167,log4j,1,org.apache.log4j.test.Finalize,9,1,0,3,34,34,0,3,2,0.875,0.0,1,0.0,0.175,0,0,17.33333333,3,1.4444,log4j-1.0,PROMISE
0,85,log4j,1,org.apache.log4j.test.MultipleAppenders,2,1,0,3,20,1,0,3,2,2.0,0.0,0,0.0,0.5,0,0,41.5,6,3.0,log4j-1.0,PROMISE
0,22,log4j,1,org.apache.log4j.helpers.NullEnumeration,5,1,0,1,7,8,1,0,3,0.75,1.0,1,0.0,0.75,0,0,3.2,1,0.6,log4j-1.0,PROMISE
1,289,log4j,1,org.apache.log4j.RollingFileAppender,13,3,1,10,42,0,2,8,11,0.729166667,0.5,0,0.804878049,0.247863248,1,10,20.92307692,5,1.2308,log4j-1.0,PROMISE
0,181,log4j,1,org.apache.log4j.AppenderSkeleton,19,1,9,20,31,131,11,9,18,0.909722222,0.875,5,0.0,0.210526316,0,0,8.105263158,4,1.4211,log4j-1.0,PROMISE
0,144,log4j,1,org.apache.log4j.nt.test.NTMin,7,1,0,6,30,17,0,6,2,0.75,0.0,1,0.0,0.277777778,0,0,19.28571429,2,0.8571,log4j-1.0,PROMISE
1,275,log4j,1,org.apache.log4j.NDC,12,1,0,12,41,0,10,2,9,0.666666667,0.0,0,0.0,0.090909091,0,0,21.66666667,6,2.25,log4j-1.0,PROMISE
0,57,log4j,1,org.apache.log4j.helpers.QuietWriter,4,3,2,9,12,0,8,1,4,0.0,1.0,1,0.857142857,0.5,2,2,13.0,2,1.0,log4j-1.0,PROMISE
0,61,log4j,1,org.apache.log4j.CategoryKey,4,1,0,1,11,2,1,0,2,0.7777777779999999,0.0,0,0.0,0.5,1,1,13.5,6,2.0,log4j-1.0,PROMISE
0,68,log4j,1,org.apache.log4j.test.ConfigurationFileParsing,4,1,0,3,19,6,0,3,2,0.666666667,0.0,0,0.0,0.333333333,0,0,15.75,2,1.25,log4j-1.0,PROMISE
1,169,log4j,1,org.apache.log4j.Priority,10,1,2,40,13,15,40,0,8,0.8119658120000001,0.0,5,0.0,0.333333333,0,0,14.6,7,2.1,log4j-1.0,PROMISE
0,43,log4j,1,org.apache.log4j.helpers.TracerPrintWriter,5,3,1,5,9,0,3,2,5,0.0,1.0,1,0.93442623,0.4,1,1,7.4,1,0.8,log4j-1.0,PROMISE
1,274,log4j,1,org.apache.log4j.spi.LocationInfo,6,1,0,7,21,0,5,2,5,0.9,0.2,0,0.0,0.466666667,0,0,43.0,5,2.8333,log4j-1.0,PROMISE
2,91,log4j,1,org.apache.log4j.helpers.LogLog,7,1,0,28,16,9,28,1,6,1.0,0.75,0,0.0,0.333333333,0,0,11.42857143,3,1.2857,log4j-1.0,PROMISE
0,146,log4j,1,org.apache.log4j.helpers.BoundedFIFO,8,1,0,3,14,0,2,1,8,0.571428571,0.0,1,0.0,0.4166666670000001,0,0,16.625,3,1.75,log4j-1.0,PROMISE
2,151,log4j,1,org.apache.log4j.spi.LoggingEvent,9,1,0,53,27,20,50,4,6,0.8942307690000001,0.076923077,2,0.0,0.232142857,0,0,14.33333333,3,1.3333,log4j-1.0,PROMISE
3,73,log4j,1,org.apache.log4j.helpers.Loader,4,1,0,0,15,6,0,0,4,2.0,0.0,0,0.0,0.333333333,0,0,17.25,1,0.75,log4j-1.0,PROMISE
0,208,log4j,1,org.apache.log4j.gui.JTableAppender,6,5,0,7,44,13,2,7,4,0.85,0.0,2,0.995139733,0.3,2,2,33.0,3,1.0,log4j-1.0,PROMISE
0,23,log4j,1,org.apache.log4j.test.UTObjectRenderer,3,1,0,1,7,0,0,1,2,0.0,0.0,0,0.0,0.5555555560000001,0,0,6.333333333,1,0.6667,log4j-1.0,PROMISE
1,241,log4j,1,org.apache.log4j.xml.XMLLayout,6,2,0,5,24,9,0,5,6,0.92,0.8,0,0.615384615,0.444444444,1,1,38.33333333,5,1.8333,log4j-1.0,PROMISE
0,25,log4j,1,org.apache.log4j.spi.RootCategory,3,2,0,4,6,3,2,3,3,2.0,0.0,0,0.959183673,0.833333333,1,6,7.333333333,2,1.0,log4j-1.0,PROMISE
1,179,log4j,1,org.apache.log4j.test.ShortSocketServer,7,1,0,5,35,15,0,5,2,0.75,0.0,1,0.0,0.25,0,0,24.0,2,1.0,log4j-1.0,PROMISE
1,413,log4j,1,org.apache.log4j.FileAppender,20,2,2,17,46,58,9,8,15,0.649122807,0.666666667,2,0.545454545,0.2375,1,3,19.2,7,1.65,log4j-1.0,PROMISE
0,32,log4j,1,org.apache.log4j.net.SyslogTracerPrintWriter,4,4,0,3,11,4,1,2,2,0.666666667,0.0,0,0.968253968,0.5,2,2,6.75,1,0.5,log4j-1.0,PROMISE
0,675,log4j,1,org.apache.log4j.gui.TextPaneAppender,19,2,0,10,69,129,2,8,13,0.885964912,0.105263158,2,0.514285714,0.233082707,1,3,33.52631579,11,2.1579,log4j-1.0,PROMISE
0,301,log4j,1,org.apache.log4j.test.StressAsyncAppender,10,2,0,2,37,23,0,2,7,0.833333333,0.0,1,0.8840579709999999,0.2,0,0,28.1,4,1.7,log4j-1.0,PROMISE
2,321,log4j,1,org.apache.log4j.HTMLLayout,10,2,0,6,33,33,0,6,9,0.933333333,0.6,0,0.470588235,0.325,1,1,30.6,5,1.7,log4j-1.0,PROMISE
0,80,log4j,1,org.apache.log4j.performance.SystemTime,5,1,0,0,14,4,0,0,2,0.25,0.0,0,0.0,0.25,0,0,14.8,2,1.0,log4j-1.0,PROMISE
0,128,log4j,1,org.apache.log4j.or.MessageRenderer,2,1,0,3,22,1,1,2,2,2.0,0.0,0,0.0,0.75,0,0,63.0,5,2.5,log4j-1.0,PROMISE
